Person,Title,Organizations,Forbes Number,Tags,Race,AAPI Subcategory,Gender,Photo,Last Checked
Edith W. Cooper,"Board Member, Amazon",Amazon,2,Board Member,Black,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9typbdSi3WZbnCZxtuvO3V/Edith%20Cooper.jpg,2023-02-08
Jamie S. Gorelick,"Board Member, Amazon",Amazon,2,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8LRtl_HCYlseybCtSjO4XO/Jamie%20Gorelick.jpg,2023-02-08
Daniel P. Huttenlocher,"Board Member, Amazon",Amazon,2,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9enm7EcO1DB1bIB5AMBkxE/Daniel%20Huttenlocher.jpg,2023-02-08
Judith A. McGrath,"Board Member, Amazon",Amazon,2,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bUhkzhGm23Qc997IQvB_UM/Judith%20McGrath.jpg,2023-02-08
Jonathan J. Rubinstein,"Board Member, Amazon",Amazon,2,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9yI_1YVm_I02ks2xgl8_1e/Jonathan%20Rubinstein.jpg,2023-02-08
Patricia Q. Stonesifer,"Board Member, Amazon",Amazon,2,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/adpObGNsTkTdicxAs5O_vM/Patricia%20Stonesifer.jpg,2023-02-08
Wendell P. Weeks,"Board Member, Amazon",Amazon,2,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8-lJ8qf8T6SfWf1EqAJOwj/Wendell%20Weeks.jpg,2023-02-08
Ramon L. Laguarta,"Board Chair and CEO, PepsiCo",PepsiCo,45,"Board Member, Board Chair, CEO",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9QM3X1SrQ6DdzpOJlgD4PS/Ramon%20L%20Laguarta.png,2023-02-08
Jim Andrew,"Executive Vice President, Chief Sustainability Officer, PepsiCo",PepsiCo,45,C-Suite,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/aQliAvi_inW9soDTfzQ_vi/Jim%20Andrew.png,2023-02-08
Segun Agbaje,"Board Member, PepsiCo",PepsiCo,45,Board Member,Black,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9OkcGhdftCr0Iiibza4OtT/segun-agbaje.jpg,2023-02-08
Shona L. Brown,"Board Member, PepsiCo",PepsiCo,45,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bkYQE4K6oLr3jVInx74OCg/shonabrown_biography.jpg,2023-02-08
Cesar Conde,"Board Member, PepsiCo",PepsiCo,45,Board Member,Latino,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8H-6qqpjYar0XvXEh7Z_a3/Cesar_Conde.png,2023-02-08
Ian Cook,"Board Member, PepsiCo",PepsiCo,45,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bFMLgN8-VHi6Pv8cMe64pm/iancook_biography.jpg,2023-02-08
Edith W. Cooper,"Board Member, PepsiCo",PepsiCo,45,Board Member,Black,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9typbdSi3WZbnCZxtuvO3V/Edith%20Cooper.jpg,2023-02-08
Dina Dublon,"Board Member, PepsiCo",PepsiCo,45,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/aktLJ7iQDs-b51wRY_rOyT/dinadublon_biography.jpg,2023-02-08
Michelle Gass,"Board Member, PepsiCo",PepsiCo,45,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9ZvZIFzKuXO5R8SqQ___F-/michelle_gass.jpg,2023-02-08
Sir Dave Lewis,"Board Member, PepsiCo",PepsiCo,45,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bU2g8EhMkJ90zmJIppgkGx/dave_lewis_headshot_760x1066.jpg,2023-02-08
David C. Page,"Board Member, PepsiCo",PepsiCo,45,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/80o3LqNaf8g7Bac7pFK_nu/davidpage_biography.jpg,2023-02-08
Robert C. Pohlad,"Board Member, PepsiCo",PepsiCo,45,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bABzNkmVTXx9TL_etETO4_/robertpohlad_biography.jpg,2023-02-08
Daniel Vasella,"Board Member, PepsiCo",PepsiCo,45,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8UXv-tXly89b9VwkV5IkLi/dan-vasella-2017.jpg,2023-02-08
Darren Walker,"Board Member, PepsiCo",PepsiCo,45,Board Member,Black,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bG8KU4mVcub16vJgcq_kcG/Darren%20Walker.jpg,2023-02-08
Alberto Weisser,"Board Member, PepsiCo",PepsiCo,45,Board Member,Latino,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/96T3dNN8-MB38BQmb_NOlp/albertoweisser_biography.jpg,2023-02-08
Ruth Porat,"Senior Vice President and Chief Financial Officer, Alphabet",Alphabet,8,C-Suite,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9sFhYRlRhYGc-M-kbfnkG4/Ruth_Porth_headshot.jpg,2023-02-08
Philipp Schindler,Senior Vice President and Chief Business Officer,Alphabet,8,C-Suite,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/aGX6unOgmfv0XL8KmW_kCC/Philipp%20Schindler.jpg,2023-02-08
Andrew P. Witty,"CEO, UnitedHealth Group",UnitedHealth Group,5,"CEO, Board Member",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9_HHk75V-sFfnbbahrP_ei/Andrew%20Witty.jpg,2023-02-08
John H. Noseworthy,"Board Member, UnitedHealth Group",UnitedHealth Group,5,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/aPNip_h27Sp1y9qmcL3_hQ/John-Noseworthy-11261676.jpg,2023-02-08
Valerie Montgomery Rice,"Board Member, UnitedHealth Group",UnitedHealth Group,5,Board Member,Black,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9ioD3x5KLPoeVhT-SZykYM/round-valerie-montgomery-rice.jpg,2023-02-08
F. William McNabb III,"Board Member, UnitedHealth Group",UnitedHealth Group,5,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bCUyCg-BNp5eXyuxScykhH/william%20mcnabb.jpg,2023-02-08
Michele J. Hooper,"Board Member, UnitedHealth Group",UnitedHealth Group,5,Board Member,Black,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9BpCg4lg7jlen6ozo8t4xZ/michele.png,2023-02-08
Stephen J. Hemsley,"Board Chair, UnitedHealth Group",UnitedHealth Group,5,"Board Chair, Board Member",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bLLca9DRCXSboVsbKdMOAW/stephen_hemsley_bloomberg-2009.jpg,2023-02-08
Kristen L. Gil,"Board Member, UnitedHealth Group",UnitedHealth Group,5,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/93mFTWJnE517tDyKkbykht/Copy%20of%20Kristen_Gil_15647_c_v2.jpg,2023-02-08
Paul R. Garcia,"Board Member, UnitedHealth Group",UnitedHealth Group,5,Board Member,Latino,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/89r16_xQRS4adnNP4VF4gw/Paul-Garcia.png,2023-02-08
Timothy P. Flynn,"Board Member, UnitedHealth Group",UnitedHealth Group,5,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9XIAaXaSN710lRJAco3kBY/timothy_flynn.jpeg,2023-02-08
